"period_end_date","2016-12","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"cash_and_equiv_growth","","-1","","-1","-1","","3.88","","","0.04","-0.64","-0.22","10.62","7.67","10.12","12.89","2.18","2.69","1.61","-0.07000000000000001","-0.49","-0.45"
"ppe_growth","","-1","","-1","-1","","0.52","","","-0.01","0.36","0.42","0.54","0.8100000000000001","0.34","0.52","1.79","1.6","2.57","2.2","0.61","1.22"
"total_assets_growth","","-1","","-1","-1","","0.8100000000000001","","","0.07000000000000001","-0.19","0.14","1.07","1.92","3.62","5.14","3.63","3.5","2.36","1.17","0.61","0.25"
"total_equity_growth","","-1","","-1","-1","","1.45","","","0.16","-0.23","0.13","1.2","1.2","1.18","1.34","1.27","2.67","4.52","3.45","1.68","0.78"
"cfo_growth","","","","-0.08","","","0.12","-0.3","-1.25","-0.34","-0.09","0.27","0.78","9.34","13.76","29.03","170.29","2.67","1.62","-0.07000000000000001","-0.93","-0.92"
"capex_growth","","","","-1.67","","","-0.14","0.76","0.6899999999999999","0.74","0.48","0.21","-0.79","-1.83","-2.38","-4.83","-0.58","-4.21","-4","-2.77","-1.9","0.1"
"fcf_growth","","","","-0.25","","","0.09","-0.06","-0.45","-0.07000000000000001","-0.01","0.26","0.64","8.68","12.68","27.21","94.79000000000001","2.64","1.57","-0.1","-0.95","-0.95"
"shares_eop","296.681","296.681","296.681","296.681","324.411","324.411","328.799","328.853","329.958","332.495","336.537","370.103","393.277","395.391","398.788","401","403","405","403","400","392","387"
"dividends","","","","","","","","","","","","","","","","","","","","","",""
"price_to_earnings","","","","","","","-13.05","-15.04","-9.869999999999999","-9.949999999999999","-12.81","-21.93","-51.8","-46.84","-55.77","87.81","27.09","22.07","8.390000000000001","4.71","3.98","3.89"
"price_to_book","","","","","","","3.28","4.63","3.61","4.23","5.6","6.76","8.57","10.14","16.27","13.68","14.13","15.4","7.24","4.04","3.11","2.54"
"price_to_sales","","","","","","","40.9","61.16","51.6","75.3","137.14","292.59","444.15","503.88","152.05","26.09","15.28","14.15","5.77","3.14","2.51","2.21"
"price_to_tangible_book","","","","","","","3.28","4.63","3.61","4.23","5.6","6.76","8.57","10.14","16.27","13.68","14.13","15.4","7.24","4.04","3.11","2.54"
"price_to_fcf","","","","","","","-11.5","-15.03","-10.02","-10.81","-13.41","-24.57","-67.34999999999999","45.65","21.27","10.49","10.43","13.69","7.68","5.29","6.08","7.38"
"market_cap","","","","","","","5020.76073","6692.15855","4830.58512","5293.3204","6582.66372","11084.58485","25252.31617","27973.91325","41661.38236","52510.95","94696.94","155868.3","102353.94","68904","55997.2","45762.75"
"period_end_price","","","","","","","15.27","20.35","14.64","15.92","19.56","29.95","64.20999999999999","70.75","104.47","130.95","234.98","384.86","253.98","172.26","142.85","118.25"
