Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,36.318787,36.764706,35.920303,36.508537,33.971008,28472124
2020-08-03,36.631878,36.679317,36.261860,36.385201,33.856243,31036400
2020-08-04,36.347248,36.698292,36.138519,36.423149,33.891556,29448549
2020-08-05,36.499050,36.555977,36.176472,36.480076,33.944534,24292697
2020-08-06,36.783680,37.096775,36.195446,36.309299,33.785622,20922111
2020-08-07,36.337761,36.641365,36.204933,36.480076,33.944534,23097251
2020-08-10,36.574951,36.679317,36.299809,36.423149,33.891556,19964552
2020-08-11,36.584438,36.603416,35.740040,35.853889,33.361862,21326847
2020-08-12,35.891842,36.574951,35.872864,36.366222,33.838589,19957595
2020-08-13,36.119545,36.223907,35.939278,36.214420,33.697342,15340021
2020-08-14,36.062618,36.423149,35.986717,36.110058,33.600227,12901276
2020-08-17,36.091084,36.442123,36.005692,36.385201,33.856243,17494187
2020-08-18,36.480076,36.489563,36.214420,36.394688,33.865078,10846398
2020-08-19,36.508537,36.631878,36.166985,36.299809,33.776794,15690055
2020-08-20,36.223907,36.802658,36.176472,36.736244,34.182896,21957455
2020-08-21,36.916508,37.001900,36.593929,36.888046,34.324139,25467170
2020-08-24,37.020874,37.039848,36.565464,36.850094,34.288826,25011947
2020-08-25,36.537003,36.584438,36.005692,36.442123,33.909214,26221201
2020-08-26,36.233398,36.309299,35.730549,36.100571,33.591400,24083689
2020-08-27,36.015179,36.053131,35.749527,35.920303,33.423664,22156556
2020-08-28,35.929790,36.110058,35.483871,35.967743,33.467815,32830519
2020-08-31,35.901329,36.072105,35.578747,35.853889,33.361862,30032465
2020-09-01,35.853889,35.882355,34.639469,34.990513,32.558495,36145560
2020-09-02,34.886147,35.388992,34.535103,35.294117,32.841007,29068688
2020-09-03,35.455406,35.569260,34.250473,34.535103,32.134743,35956788
2020-09-04,34.620495,34.753323,34.032257,34.497154,32.099426,26872257
2020-09-08,34.658443,34.734344,33.851994,34.089184,31.719812,26736818
